lid,rid
244752,562970
479324,1165063
626847,980490
407600,686329
1160737,1165529
79618,958621
580720,989923
160698,840632
275298,569051
47805,1096728
238410,1012759
680696,684716
35835,197963
43002,501235
892226,1120111
123819,405467
707293,801209
27518,216813
311850,871202
380309,410206
258901,898454
111986,430100
39067,132233
838773,1039936
182813,588950
32434,406086
261574,569051
641641,827382
830821,957221
273403,811391
149343,559867
919725,943080
259163,443308
316082,930449
315124,873591
424448,1058037
20874,807527
967246,1002305
1113411,1134987
348700,646157
155524,997928
246181,1042017
202561,1167886
811472,1153515
20530,425160
218329,807548
694917,1007779
763737,830443
722227,808999
345732,781142
41434,1197530
356044,830443
468636,715497
415101,1214952
156631,735519
67736,390628
723261,1214952
280892,608748
776267,1192371
1047405,1083828
618892,652372
156815,1220529
26932,207000
832455,942681
678058,996638
649701,1070036
642780,851709
440510,547756
386264,1100598
182052,896937
355340,787414
183836,807548
114869,626847
504869,507637
176924,890334
118264,183119
99094,717959
484022,773369
186402,1013368
23576,118703
574237,916147
183779,467117
521481,1182398
509110,524337
828791,1037962
337021,1122699
89057,843337
634335,1093466
180669,1084899
186684,1161110
559035,954288
12315,134271
787055,923715
96622,949526
112037,1014418
366473,1054506
53548,674689
234970,565325
1195748,1200313
365405,709857
504103,674226
569051,750502
694215,1161096
143795,683447
218329,1018477
389279,807660
38665,178833
21372,165007
205832,315230
210968,744386
339274,723261
399160,529902
514910,935887
15273,1109862
548585,1155849
669693,715604
122978,1016133
605951,707777
175347,811472
234965,990433
301409,977442
310369,512964
246181,777397
424865,479637
339365,1132643
76644,640306
87659,995662
140248,1112363
99258,343864
3427,1212514
249305,735519
271364,657437
168372,310517
323855,1141234
140953,147580
62729,890831
85082,623853
183836,1018477
486656,964127
680732,1093022
463974,731919
415257,1215278
733242,845209
63975,1063755
174755,1109520
712728,938188
743348,1071360
317339,485193
86260,411834
488226,1213120
753861,833671
225419,393759
571884,872072
1083329,1120420
224952,890759
896453,1093267
275298,377480
171876,462151
795487,928064
763547,1160899
224186,401556
712798,1182398
335312,571343
207000,215223
700578,1028886
154162,907921
396337,405584
261574,377480
807548,1127720
86181,197042
116214,975350
175317,767767
47226,656831
709480,1081211
848136,949545
366740,869077
776117,793979
250305,829839
781142,1163520
105919,597810
1097340,1176803
229377,555197
26932,286144
124893,351408
86282,898744
726294,1053870
513302,937824
957029,982719
1132026,1148443
272868,866724
382796,768916
492951,904995
598072,598609
163850,378867
216813,932646
752422,814931
233766,723261
252150,326870
264174,307874
576965,1220529
812521,1033600
160698,975105
61863,532786
51871,421582
159600,370318
180242,637958
269179,817272
343864,971022
841545,935001
769155,1055067
339274,949600
542235,985446
519590,1181097
331140,1109390
655647,1189383
1114862,1164020
418025,518190
779047,884988
284379,637340
755339,1050405
434374,504103
947464,1026185
859941,1196506
195804,694767
7610,310517
225419,345732
286144,571471
859066,1193246
437403,634742
339274,1005950
310482,1199587
905126,1106373
184941,439539
286144,846642
375154,1127720
605098,1127720
856214,880989
99409,797248
252203,943022
448786,492156
191371,923186
864817,965327
818899,870265
887083,900555
290462,887913
775851,934452
361468,368813
159134,284046
286144,765701
157317,620200
252678,971022
480983,946260
504103,918553
298629,1065628
536385,1059128
267914,842984
598082,703113
99258,554472
1073224,1158716
376958,948758
571471,1218567
583197,1001661
668460,917013
218329,1155849
48934,936204
43771,850410
893401,1183075
604087,728836
218329,1188279
348700,1098164
457119,927402
249012,665957
81979,1032600
34396,484332
356044,376346
677261,727834
143286,797506
256971,757548
474256,568711
106450,1022957
233766,949600
259615,290274
197117,714655
418025,707777
89391,406887
702572,1123928
307637,477566
399593,489783
378469,408736
755932,1043027
183836,1155849
523492,600446
406247,958643
187501,641086
99258,634742
782971,867324
420447,927616
183836,1188279
202194,364218
1326,908019
720028,952697
491207,532569
923409,1151707
608748,807548
704675,950160
233766,1005950
880242,1160737
37195,496011
811472,846642
727667,1068257
299003,1150811
954611,1082248
278021,459475
410136,950166
9016,884883
216359,763217
478409,1199884
134628,688116
696966,1052789
304586,889939
755339,802350
897431,944654
99258,840865
56896,246181
462342,711741
80367,370167
187004,1181762
608748,1205323
665008,962676
172152,1092817
684150,1116508
277660,741056
441620,866837
554472,750502
888363,1153063
1159290,1215923
183014,261906
461360,848184
62729,888363
149517,465662
289385,521481
972066,1059225
117055,844933
259842,1082366
216431,508994
136639,1033634
9725,1047372
21464,740362
502519,696428
676793,865167
434636,631542
34003,603530
142264,206565
131856,291464
503818,935001
173247,425991
281308,408677
773013,1093267
5338,605098
532339,967804
548585,1153515
149521,253376
312884,339274
627340,1194174
529405,672326
949600,1109390
857638,1160737
527144,538418
731263,949166
679470,1192833
20530,504869
525270,1151303
818792,936919
58169,1219646
207000,425160
156631,556272
146167,1027926
98098,802292
590021,1102175
521481,534689
377489,451771
871759,1182226
313991,1196313
569878,763737
280892,286144
339274,493007
160698,953844
141485,246181
163600,708251
5338,871759
310517,366740
3242,1023851
200198,848546
314718,837497
283112,973453
358653,429301
551467,941174
608748,1018477
107316,736379
26932,343864
330438,1120102
44094,312884
741056,1165529
71672,375154
992119,1034413
493007,504869
585632,590026
240040,332943
136853,420672
793360,1036472
469002,565781
139553,339620
393759,1163520
690701,703698
406352,1141234
168372,275298
164950,570059
286144,394021
332868,532523
44094,168372
103957,777585
126424,343967
51274,545219
813980,1181533
333667,728140
5338,218329
377480,811472
323095,989923
301890,920588
427882,726294
522205,635527
300450,682133
425160,647052
310514,1130262
314348,658877
273403,469002
645545,745445
106380,137507
944400,1175768
219145,658525
269900,843560
215223,1214952
190251,528577
20371,67839
554472,569051
465818,1088097
204551,278021
753861,960252
647905,908005
177411,762586
180501,742816
120301,284922
570679,660122
65094,286431
868786,1073024
569878,985404
77609,605098
1081472,1083348
59124,887097
257037,555485
251063,941749
429963,663239
428253,525270
249305,556272
96055,130738
7610,20530
544754,698504
595720,783786
987234,1033663
86783,175231
295543,903879
77609,857638
742776,963968
99258,270417
41451,430901
610265,793360
418280,989964
356566,1112279
437403,848546
543560,826955
46256,381012
357678,362103
556272,667420
122043,446507
149461,455097
463022,612012
77609,871759
1034750,1144599
628213,654082
21372,967246
266895,421608
362407,1142674
195804,337021
434374,918553
55568,305127
274800,545797
378423,1101582
37430,1025764
605951,896453
7610,275298
601638,869647
407072,469487
690871,722231
277660,398423
331140,881014
286144,756951
963559,1002784
716113,923715
720053,1192492
183231,394432
490337,1119703
492855,586117
816931,840957
360941,863936
218329,1153515
246181,839281
493477,768074
137507,975781
44094,331140
604087,1054506
840865,1165529
626976,915589
827147,1053882
571104,763737
297597,869337
249012,1014258
692334,1149773
324908,538749
341802,544198
108297,1147371
439539,493007
223101,642089
817487,883259
26932,554472
200629,233180
525270,695299
881014,1205323
203377,315124
415101,608748
226500,1003510
147580,667991
762732,1126098
834171,893944
624776,1188942
217141,946371
255710,343189
632678,1180615
711334,1127711
7610,277660
183836,1153515
698222,833671
173570,426674
811391,1176511
6964,583043
204975,732934
276727,1146173
366740,750502
606987,871202
824319,1082831
286144,723261
1165334,1199506
608748,1155849
665008,783266
160757,632678
859218,1113804
437403,1160737
21529,166396
33982,920268
328181,1073700
39933,887661
26755,515467
353685,490715
82915,842984
431984,592450
519765,1050095
312884,554472
84805,769297
280892,343864
168372,1127711
185139,1152044
622550,712798
108687,593860
118025,725185
200706,991935
75909,525700
744386,831205
11642,821331
157245,539330
86891,693428
271955,506713
178833,339274
176690,189372
246994,783786
56610,251316
900016,1165132
58034,726502
377480,448786
255710,1123574
504696,515172
21870,944654
731919,1062170
230946,715352
275298,1127720
429726,484022
478537,552384
371832,1074019
220823,382242
935001,959150
203377,434374
554231,789530
375154,585490
617298,839821
312884,634742
343864,375154
261574,1127720
571505,868755
504869,1182226
661562,874006
154203,816918
177572,698640
807548,1007669
26932,1198989
398423,554472
417572,608748
312884,840865
950787,980362
428569,693615
71672,647052
403016,618421
632678,1214952
44094,1012759
99258,1160737
544934,652678
548585,571471
14180,1164598
243255,695104
585300,696136
787055,915693
106753,334978
321927,346220
425160,1165529
1100721,1191226
732797,1116550
100754,242469
339274,870489
12040,19813
366740,569051
783898,1123210
360898,1162547
548585,846642
174679,982737
532489,821201
831205,985404
456854,995054
926334,1107822
96065,495458
25553,759493
143286,935443
7610,1127711
252678,375154
829032,928628
74573,953269
57547,1134822
548585,765701
340079,835961
418025,896453
168469,1146705
278021,791724
398423,634742
865892,1120601
840632,915693
665920,902328
98939,899287
62468,810445
413584,738563
33982,427378
341327,1001761
375154,1007669
17366,240609
504869,528341
161683,1120366
477299,1025400
247987,921927
10597,573419
398423,840865
774118,1163085
281178,629418
703998,1197442
829064,928300
932075,1013658
67839,225419
108803,528341
528341,949600
215223,652372
842535,944604
750502,840865
627565,643068
298491,332080
874722,1101881
207000,504869
89149,861536
255873,315503
157974,601560
366138,1134361
52473,237357
734263,1170854
773013,984141
507637,976632
277660,971022
151268,1014670
204767,751910
246994,412911
502512,793759
82933,1053797
528341,1005950
673197,972906
26932,270417
922697,1054506
690558,1075320
528131,1061016
497047,706287
767249,906586
475997,657242
43887,381188
764186,790457
357954,812473
811472,949600
639024,1190793
606776,1170154
7326,1179309
184941,1205323
218902,594635
233766,870489
519395,1088900
310517,848546
654167,998084
270197,316167
436844,675641
158766,773674
656186,1151303
31195,778023
343864,1109390
174724,202957
302115,671472
451182,507637
162881,1079608
840868,1192513
811472,1005950
652372,1012759
848546,1182226
880242,1218567
278021,605951
947134,1213845
964940,1059050
402356,1004420
14841,199275
370167,831205
432286,840632
894205,996729
140673,582449
310369,517587
753549,832970
393759,1170343
5338,987199
260946,697222
170237,937563
128825,952117
305739,1162731
101356,751910
443206,913736
60686,482454
62075,665105
203377,977442
713502,1138745
278021,1062170
200198,252678
218329,571471
608748,1153515
727687,1129317
51448,330957
278015,1134944
857638,1218567
393759,936596
356044,763737
218329,846642
164521,999999
601099,684107
447417,657092
46334,500039
148056,694767
569051,1127720
5217,698222
234124,848184
501616,1195212
280892,1198989
448786,869077
45244,266127
366740,377480
107983,724150
480731,578118
174755,443559
178908,693226
341658,403534
193689,583856
240452,911686
472984,792321
339274,1180615
660310,800462
183836,571471
243665,247053
417572,1151600
1018477,1141234
698222,960252
345173,1181214
775729,1024080
402441,1150196
27744,962676
561648,1009541
183836,846642
44031,1075792
746311,883020
372562,1141518
490010,1014370
298479,528341
206686,1098032
1007669,1182226
600538,785278
279859,1197933
151162,749384
71672,1165529
452790,646805
451162,930988
27744,665008
698133,791724
815864,961185
191406,600446
660963,893944
106380,315124
403630,564861
161055,200198
812733,1171613
90978,217633
399015,1177698
323542,460492
158644,1188396
5903,117281
579104,687732
468467,649600
728836,1164265
688017,953561
894089,1035563
167999,355503
127660,383074
20431,1115774
177740,936133
75903,1181675
187208,789485
270417,275298
556962,947551
1050023,1095080
389254,496008
677825,734001
392911,628310
251316,327240
980764,1138811
466682,989964
160698,787055
337021,637144
301274,991586
328181,1202643
557935,901869
445013,1153063
579165,985786
539005,826955
252678,647052
656186,695299
787055,953844
233766,1180615
468558,487247
561434,1054149
339274,1214952
44094,184941
515875,533645
42401,172216
823878,1168566
60434,763013
753861,1153063
839281,975781
168372,711334
161055,493007
241045,1170969
492156,1205323
676415,799764
654403,780321
944400,1070322
315178,1222913
21948,1050095
578575,831205
717060,1065376
665008,1097340
106380,434374
620866,911308
741056,880242
423218,1195862
428253,459475
312884,1160737
444971,913613
840632,953844
56896,301409
487530,1003330
584024,1132026
425160,492156
84775,385484
101644,285985
146850,390640
350,907287
464547,498066
615963,961197
328687,679667
126196,793893
168501,1084205
271955,1132226
262069,992401
69409,358549
20530,415101
406572,922086
569878,1122699
30783,1023455
71655,627962
548585,723261
67736,1148443
429726,777209
295509,1055176
113175,999224
545713,607666
391832,1156663
855597,978475
215223,238410
432286,975105
72805,1083324
33218,1124308
343864,406352
323452,943450
439539,1180615
698653,872089
746741,761825
869701,1088064
349728,1000922
1150141,1222466
32667,843907
178942,717212
64135,315503
817262,914152
101297,1150825
890036,1000573
473925,1214221
385194,1023641
652,839462
374025,809485
753861,989787
331838,651639
36735,67545
343785,694247
609912,1188934
544600,1121241
44031,783898
340426,560821
618892,634742
434022,960334
99258,448786
437403,1218567
175347,200198
599617,1199744
564505,809333
56896,220952
398423,1160737
281751,596073
120437,895801
1182226,1214952
233766,1214952
158784,173012
951273,1046485
226876,1103051
1021669,1139326
750502,1160737
618892,840865
407743,572843
60970,395771
7610,711334
486154,745880
92945,585622
813943,860984
1084205,1101685
394021,1012759
561697,1223154
722304,944475
579421,1051553
252678,406352
439649,555407
238410,971022
296697,744386
497951,718183
394389,927892
1141234,1180615
808540,1114445
290359,897431
503995,672935
9499,1126095
1014574,1033385
151530,1048013
461360,576965
170054,392861
158063,545713
855248,858587
418789,753549
873364,995054
243199,309265
175969,634829
459475,707777
323855,1069348
344970,1142173
149058,347435
554472,1127720
275298,1007669
236010,741654
294792,684957
151162,637144
105363,855256
680488,750304
348909,633806
849793,894407
21372,826955
918553,975781
716113,915693
267113,1053241
206560,980361
532523,532569
389770,852468
27744,783266
175347,493007
592377,1182609
